                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.9563,                0.59039,                 1.0685,                0.91672,                0.91881,                0.96839,                0.73759,                0.89463,                0.47187,                 1.1094,              0.0012819,              0.0012819,              0.0012819
                     37,                0.94289,                0.56943,                 1.0734,                0.91066,                0.90106,                0.95549,                  0.731,                0.89102,                0.48786,                 1.1122,              0.0012709,              0.0012709,              0.0012709
                     38,                0.92862,                0.56188,                 1.0665,                0.89016,                0.92224,                0.95148,                0.71288,                0.92068,                0.51219,                 1.1313,              0.0012599,              0.0012599,              0.0012599
                     39,                0.94744,                0.58176,                 1.0762,                0.87562,                0.90124,                0.94243,                0.72172,                0.88912,                0.56869,                 1.1086,              0.0012489,              0.0012489,              0.0012489
                     40,                0.94329,                0.57131,                 1.0816,                0.90398,                0.91551,                0.96132,                0.74088,                0.88293,                0.48949,                 1.1076,              0.0012379,              0.0012379,              0.0012379
                     41,                0.94278,                0.59138,                 1.0681,                0.90028,                0.93396,                 0.9653,                0.73853,                0.90141,                0.48587,                 1.1129,              0.0012269,              0.0012269,              0.0012269
                     42,                0.93283,                0.58759,                 1.0725,                0.91397,                0.92719,                0.96322,                 0.7366,                0.89071,                0.47519,                 1.1086,              0.0012159,              0.0012159,              0.0012159
                     43,                0.93002,                0.57933,                 1.0665,                0.90989,                0.92162,                0.96759,                0.74192,                0.89258,                0.47529,                  1.111,              0.0012049,              0.0012049,              0.0012049
                     44,                0.93651,                0.56744,                 1.0839,                0.90574,                0.93334,                0.96781,                0.74564,                0.88731,                0.46151,                 1.1067,              0.0011939,              0.0011939,              0.0011939
                     45,                0.91851,                0.56019,                 1.0683,                0.91615,                0.92829,                0.96384,                 0.7466,                0.87641,                0.46508,                 1.0999,              0.0011829,              0.0011829,              0.0011829
                     46,                0.91557,                0.54593,                  1.048,                0.90773,                0.91678,                0.96312,                0.74089,                  0.874,                0.46694,                 1.0978,              0.0011719,              0.0011719,              0.0011719
                     47,                0.90868,                0.54171,                 1.0664,                 0.9149,                0.93019,                0.96543,                0.74969,                0.87058,                0.44774,                 1.1023,              0.0011609,              0.0011609,              0.0011609
                     48,                0.91117,                0.55238,                 1.0588,                0.89902,                0.91205,                 0.9564,                0.73997,                0.87678,                0.48574,                 1.1045,              0.0011499,              0.0011499,              0.0011499
                     49,                0.91035,                0.54306,                 1.0661,                0.91495,                0.91858,                0.96747,                 0.7505,                0.87477,                0.45387,                 1.0971,              0.0011389,              0.0011389,              0.0011389
                     50,                0.89426,                0.53297,                 1.0622,                0.91788,                0.92773,                 0.9672,                0.74992,                0.86063,                0.44064,                 1.0952,              0.0011279,              0.0011279,              0.0011279
                     51,                0.90484,                0.52712,                 1.0517,                0.88407,                0.90389,                0.95452,                0.72852,                0.91082,                 0.5072,                 1.1265,              0.0011169,              0.0011169,              0.0011169
                     52,                0.90981,                0.54846,                 1.0647,                0.91949,                0.93728,                0.96929,                0.75823,                0.85017,                0.44122,                 1.0898,              0.0011059,              0.0011059,              0.0011059
                     53,                0.88769,                0.53346,                 1.0542,                0.92175,                0.92675,                0.96972,                0.75319,                0.86621,                0.44361,                 1.0977,              0.0010949,              0.0010949,              0.0010949
                     54,                0.88978,                0.53483,                 1.0561,                0.90577,                0.91949,                0.96267,                0.74991,                0.85913,                 0.4553,                 1.0935,              0.0010839,              0.0010839,              0.0010839
                     55,                0.90838,                 0.5379,                 1.0646,                0.92261,                0.94405,                 0.9737,                 0.7651,                0.84138,                 0.4269,                 1.0828,              0.0010729,              0.0010729,              0.0010729
