label,score
regular,0.908529
regular,0.897183
regular,0.890226
regular,0.889343
regular,0.880498
regular,0.879346
regular,0.859316
regular,0.843801
regular,0.918064
regular,0.914559
regular,0.913674
regular,0.90874
regular,0.899499
regular,0.892718
regular,0.891152
regular,0.858075
regular,0.710142
regular,0.917307
regular,0.917024
regular,0.91011
regular,0.904298
regular,0.904081
regular,0.899119
regular,0.897677
regular,0.892821
regular,0.886268
regular,0.921528
regular,0.918003
regular,0.916662
regular,0.913044
regular,0.283669
regular,0.915391
regular,0.89974
regular,0.893338
regular,0.876781
regular,0.824227
regular,0.619528
regular,0.924184
regular,0.904107
regular,0.916179
regular,0.907227
regular,0.906885
regular,0.899256
regular,0.687464
regular,0.915579
regular,0.911234
regular,0.869379
regular,0.766183
regular,0.433114
regular,0.923125
regular,0.922854
regular,0.912546
regular,0.920069
regular,0.90555
regular,0.8929
regular,0.888248
regular,0.823205
regular,0.930158
regular,0.928555
regular,0.912124
regular,0.911852
regular,0.911827
regular,0.906573
regular,0.923871
regular,0.922648
regular,0.916092
regular,0.913608
regular,0.902213
regular,0.901162
regular,0.922401
regular,0.906407
regular,0.902627
regular,0.901572
regular,0.874911
regular,0.834116
regular,0.908106
regular,0.904836
regular,0.902668
regular,0.897733
regular,0.929264
regular,0.89971
regular,0.898274
regular,0.853719
regular,0.838517
regular,0.62388
regular,0.421445
regular,0.9185
regular,0.888103
regular,0.879755
regular,0.831593
regular,0.296036
regular,0.884308
regular,0.872359
regular,0.738259
regular,0.6913
regular,0.922589
regular,0.900841
regular,0.898253
regular,0.885643
regular,0.81017
regular,0.667456
regular,0.929288
regular,0.925531
regular,0.925484
regular,0.898249
regular,0.79388
regular,0.909758
regular,0.907119
regular,0.871181
regular,0.554998
regular,0.913114
regular,0.911392
regular,0.907282
regular,0.90669
regular,0.884768
regular,0.6916
regular,0.921107
regular,0.885274
regular,0.868931
regular,0.860835
regular,0.908987
regular,0.903895
regular,0.892925
regular,0.88871
regular,0.88752
regular,0.849048
regular,0.922404
regular,0.903739
regular,0.894998
regular,0.892274
regular,0.921208
regular,0.915073
regular,0.892577
regular,0.884078
regular,0.851032
regular,0.834071
regular,0.929999
regular,0.925503
regular,0.909642
regular,0.909411
regular,0.844405
regular,0.828026
regular,0.751266
regular,0.69575
regular,0.918586
regular,0.914859
regular,0.886701
regular,0.852218
regular,0.846019
regular,0.922083
regular,0.906419
regular,0.90193
regular,0.898027
regular,0.753941
regular,0.916552
regular,0.896772
regular,0.894423
regular,0.86049
regular,0.799362
regular,0.910805
regular,0.899668
regular,0.897578
regular,0.889836
regular,0.862388
regular,0.840999
regular,0.904915
regular,0.903042
regular,0.903011
regular,0.890362
regular,0.867951
regular,0.354914
regular,0.917509
regular,0.911986
regular,0.908118
regular,0.90608
regular,0.779617
regular,0.706974
regular,0.925291
regular,0.923803
regular,0.918922
regular,0.891626
regular,0.889395
regular,0.888511
regular,0.933028
regular,0.900469
regular,0.878972
regular,0.762649
regular,0.551357
regular,0.29282
regular,0.938221
regular,0.917753
regular,0.916502
regular,0.894419
regular,0.86459
regular,0.826464
regular,0.927024
regular,0.892757
regular,0.880782
regular,0.729329
regular,0.71395
regular,0.643945
regular,0.259371
regular,0.923431
regular,0.899419
regular,0.854451
regular,0.707118
regular,0.569784
regular,0.269263
regular,0.930614
regular,0.91384
regular,0.912329
regular,0.902219
regular,0.919802
regular,0.909029
regular,0.907144
regular,0.906018
regular,0.899273
regular,0.899013
regular,0.925645
regular,0.92463
regular,0.920458
regular,0.904071
regular,0.899764
regular,0.896763
regular,0.929964
regular,0.924391
regular,0.915589
regular,0.905539
regular,0.817279
regular,0.71564
regular,0.916264
regular,0.913276
regular,0.905254
regular,0.90313
regular,0.884904
regular,0.852952
regular,0.913248
regular,0.908571
regular,0.901557
regular,0.901358
regular,0.704157
regular,0.481425
regular,0.369327
regular,0.892041
regular,0.884606
regular,0.871501
regular,0.869407
regular,0.862773
regular,0.83309
regular,0.866672
regular,0.848664
regular,0.842977
regular,0.81756
regular,0.777028
regular,0.878603
regular,0.810782
regular,0.926789
regular,0.91147
regular,0.906068
regular,0.832128
regular,0.565342
regular,0.922328
regular,0.91248
regular,0.832299
regular,0.917505
regular,0.88462
regular,0.336176
regular,0.911191
regular,0.899208
regular,0.886426
regular,0.874395
regular,0.916601
regular,0.915353
regular,0.913238
regular,0.902514
regular,0.894322
regular,0.8737
regular,0.850271
regular,0.841881
regular,0.837437
regular,0.918478
regular,0.911782
regular,0.902631
regular,0.894162
regular,0.778896
regular,0.598988
regular,0.432012
regular,0.903292
regular,0.892515
regular,0.870261
regular,0.72435
regular,0.680297
regular,0.628189
regular,0.476912
regular,0.349156
regular,0.901978
regular,0.89435
regular,0.874633
regular,0.771362
regular,0.265838
regular,0.911649
regular,0.906299
regular,0.881372
regular,0.845477
regular,0.783633
regular,0.912017
regular,0.890012
regular,0.802243
regular,0.775434
regular,0.742076
regular,0.886386
regular,0.882883
regular,0.862566
regular,0.859443
regular,0.530625
regular,0.904931
regular,0.894993
regular,0.85297
regular,0.834351
regular,0.794498
regular,0.899526
regular,0.89687
regular,0.895965
regular,0.884776
regular,0.938861
regular,0.908772
regular,0.901734
regular,0.874387
regular,0.898037
regular,0.894651
regular,0.874625
regular,0.872163
regular,0.85009
regular,0.920334
regular,0.911427
regular,0.900696
regular,0.88081
regular,0.867982
regular,0.832467
regular,0.920174
regular,0.900602
regular,0.881649
regular,0.857131
regular,0.913279
regular,0.892263
regular,0.876733
regular,0.812372
regular,0.403604
regular,0.900086
regular,0.872044
regular,0.871474
regular,0.787774
regular,0.731682
regular,0.528951
regular,0.331733
regular,0.301323
regular,0.913196
regular,0.906135
regular,0.805296
regular,0.716348
regular,0.334576
regular,0.915525
regular,0.912988
regular,0.905378
regular,0.859125
regular,0.814642
regular,0.802089
regular,0.366432
regular,0.905341
regular,0.904865
regular,0.899438
regular,0.897099
regular,0.851685
regular,0.762593
regular,0.917019
regular,0.90649
regular,0.897442
regular,0.896232
regular,0.905322
regular,0.900964
regular,0.899251
regular,0.882188
regular,0.910716
regular,0.905968
regular,0.894908
regular,0.54713
regular,0.44722
regular,0.914771
regular,0.912258
regular,0.910019
regular,0.900654
regular,0.856648
regular,0.624709
regular,0.904684
regular,0.861203
regular,0.860549
regular,0.857588
regular,0.8555
regular,0.852603
regular,0.898795
regular,0.885628
regular,0.881455
regular,0.810534
